cow_lactation_id,cow_id,herd_id,parity_prior_lactation,n_scc_records_previous_lactation,dry_off_scc_missing,dry_off_clinical_mastitis_within_7d,dry_off_imi_status_paper_rule,calving_interval_days,lactation_length_days,month_of_dry_off,month_of_calving,first_scc_prev_lactation_cells_ml,median_scc_prev_lactation_cells_ml,mean_scc_prev_lactation_cells_ml,min_scc_prev_lactation_cells_ml,max_scc_prev_lactation_cells_ml,mean_first3_scc_prev_lactation_cells_ml,mean_last3_scc_prev_lactation_cells_ml,ratio_last3_to_first3_scc,last_scc_prev_lactation_cells_ml,consecutive_3_scc_gt_200k_prev_lactation,pct_scc_lt_50k_prev_lactation,pct_scc_gt_100k_prev_lactation,pct_scc_gt_200k_prev_lactation,pct_scc_gt_400k_prev_lactation,pct_scc_gt_1000k_prev_lactation,peak_yield_prev_lactation_kg,yield_at_last_recording_kg,herd_new_dry_period_imi_6mo_rate,herd_new_dry_period_imi_year_rate,herd_mean_scc_k_cells_ml,herd_predicted_305d_yield_l,post_calving_sample_day,post_calving_scc_cells_ml,post_calving_scc_threshold_used_cells_ml,clinical_mastitis_within_30d_post_calving,raised_scc_post_calving_paper_rule,normal_scc_post_calving_paper_rule
CL-08269,COW-04135,HERD-001,2,12,0,0,0,341,274,11,1,136585,69592,84266,31508,179973,89762,51979,0.579,45430,0,16.7,41.7,0,0,0,41.48,32.09,0.125,0.113,238,7936,18,52679,200000,0,0,1
CL-08270,COW-04135,HERD-066,3,10,0,0,0,436,283,11,1,76024,62670,74268,40694,129178,77084,74201,0.963,45683,0,50,30,0,0,0,26.5,8.31,0.092,0.142,272.4,10891,12,74692,200000,0,0,1
CL-08271,COW-04136,HERD-067,5,7,0,0,1,409,326,7,9,246652,288006,737303,126638,2501403,226526,995486,4.395,2501403,1,0,100,71.4,28.6,28.6,45.82,33.43,0.142,0.139,204.7,5000,2,1788244,400000,0,1,0
CL-08272,COW-04136,HERD-004,1,10,0,0,0,398,244,1,3,360361,69750,104396,39915,360361,155679,84265,0.541,109878,0,10,30,10,0,0,44.43,31.69,0.144,0.13,327.3,9167,17,70594,200000,0,0,1
CL-08273,COW-04137,HERD-058,1,10,0,0,1,372,301,3,6,143366,175840,185663,93122,304001,150075,163712,1.091,225028,0,0,90,30,0,0,26.97,10.65,0.082,0.107,186.9,8607,6,129118,200000,0,0,1
CL-08274,COW-04137,HERD-074,1,8,0,0,0,378,319,5,7,79259,74593,79838,53037,114629,71143,102032,1.434,95628,0,0,12.5,0,0,0,40.82,24.75,0.136,0.138,197.1,8215,18,16179,200000,0,0,1
CL-08275,COW-04138,HERD-052,4,10,0,0,0,398,336,1,3,109007,81999,99860,44611,238186,83422,165640,1.986,105402,0,10,40,10,0,0,47.18,34.95,0.152,0.145,237.8,8897,16,162622,200000,0,0,1
CL-08276,COW-04138,HERD-060,3,9,0,0,0,428,291,4,7,20937,11934,14703,6888,33687,15451,9938,0.643,11934,0,100,0,0,0,0,45.8,30.52,0.16,0.169,222.6,10364,24,32103,200000,0,0,1
CL-08277,COW-04139,HERD-061,1,11,0,0,0,310,280,7,9,43829,49491,73968,33822,226593,53086,110632,2.084,49491,0,54.5,18.2,9.1,0,0,36.99,27.17,0.206,0.169,222,7228,26,93683,200000,0,0,1
CL-08278,COW-04139,HERD-015,5,11,0,0,1,519,361,11,1,227155,237605,350488,53208,1429187,172656,615225,3.563,1429187,0,0,90.9,63.6,18.2,9.1,39.43,32.57,0.153,0.15,277,11810,7,739364,200000,0,1,0
CL-08279,COW-04140,HERD-036,2,12,0,0,0,421,332,7,10,6694,12365,21613,5344,69192,8752,31777,3.631,52709,0,83.3,0,0,0,0,29.67,22.97,0.176,0.169,188.5,9939,30,79013,200000,0,0,1
CL-08280,COW-04140,HERD-012,3,8,0,0,1,371,274,10,12,207820,209761,245332,125493,520347,169391,372430,2.199,520347,1,0,100,62.5,12.5,0,43.18,30.07,0.094,0.11,270.3,6355,18,45910,200000,0,0,1
CL-08281,COW-04141,HERD-036,2,12,0,0,1,398,328,3,6,251367,421872,607875,99790,3056623,296472,1202931,4.057,236477,1,0,91.7,83.3,50,8.3,40.88,28.29,0.176,0.169,188.5,9939,11,105599,200000,0,0,1
CL-08282,COW-04141,HERD-077,4,9,0,0,1,447,299,8,11,362375,388416,583273,203675,1439668,717599,728016,1.015,304580,1,0,100,100,44.4,22.2,56.22,42,0.248,0.197,80,11285,25,391866,200000,1,1,0
CL-08283,COW-04142,HERD-048,2,8,0,0,0,402,253,5,7,72515,49745,46341,11454,72515,59380,31029,0.523,55346,0,50,0,0,0,0,44.67,27.57,0.128,0.134,168.3,9762,8,46071,200000,0,0,1
CL-08284,COW-04142,HERD-058,3,12,1,1,1,430,257,1,3,333450,350784,392395,134329,794282,344433,529875,1.538,,1,0,100,91.7,33.3,0,39.96,25.91,0.082,0.107,186.9,8607,15,71796,200000,0,0,1
CL-08285,COW-04143,HERD-031,2,9,0,0,1,513,303,1,4,733441,215434,274163,53722,733441,352423,237335,0.673,348263,0,0,88.9,55.6,22.2,0,47.39,34.44,0.184,0.158,237.1,8010,29,131499,200000,0,0,1
CL-08286,COW-04143,HERD-002,1,9,0,0,0,306,258,11,2,263353,128700,179066,112155,320081,231863,184009,0.794,128700,0,0,100,33.3,0,0,31.6,22.6,0.055,0.105,133.7,10327,28,94334,200000,0,0,1
CL-08287,COW-04144,HERD-026,2,12,0,0,0,369,274,4,6,44730,44768,51458,23435,83486,65442,50288,0.768,28301,0,58.3,0,0,0,0,39.97,27.53,0.143,0.134,164.8,7741,30,164370,200000,0,0,1
CL-08288,COW-04144,HERD-034,2,10,1,0,0,375,304,8,10,10297,18146,22381,10297,45317,27446,19864,0.724,,0,100,0,0,0,0,46.34,28.98,0.222,0.2,251.6,9074,3,269914,400000,0,0,1
CL-08289,COW-04145,HERD-029,5,11,0,0,0,469,368,11,1,41367,42615,67997,22350,183378,33606,137809,4.101,183378,0,54.5,18.2,0,0,0,36.08,20.38,0.112,0.124,216.7,11066,11,24575,200000,0,0,1
CL-08290,COW-04145,HERD-050,2,7,0,0,0,395,238,12,2,87907,80954,78028,30920,164341,60161,93503,1.554,80954,0,28.6,14.3,0,0,0,35.07,22.45,0.181,0.173,88.8,8329,8,46851,200000,0,0,1
CL-08291,COW-04146,HERD-026,1,11,0,0,0,368,397,4,7,200945,116808,136987,58744,288809,183038,88144,0.482,58744,0,0,54.5,27.3,0,0,38.07,29.75,0.143,0.134,164.8,7741,7,26089,200000,0,0,1
CL-08292,COW-04146,HERD-057,1,10,0,0,1,381,307,9,12,110465,320774,386499,110465,1054479,268634,655210,2.439,395198,1,0,100,80,30,10,47.52,37.69,0.123,0.158,320.7,10141,23,35503,200000,0,0,1
CL-08293,COW-04147,HERD-018,1,13,0,0,1,449,297,1,4,249101,341309,750594,155136,2706693,323111,975139,3.018,2539930,1,0,100,92.3,46.2,23.1,37.16,24.12,0.137,0.16,176.4,12385,12,854334,200000,0,1,0
CL-08294,COW-04147,HERD-077,1,7,0,0,0,417,326,1,4,219813,110043,161535,87519,294573,139958,207783,1.485,110043,0,0,85.7,42.9,0,0,34.86,21.27,0.248,0.197,80,11285,19,40127,200000,0,0,1
CL-08295,COW-04148,HERD-072,1,9,0,0,1,460,264,7,9,127932,126706,159240,55980,429719,138583,252066,1.819,429719,0,0,77.8,22.2,11.1,0,45.38,30.45,0.191,0.164,259,11562,8,76703,200000,0,0,1
CL-08296,COW-04148,HERD-042,2,9,1,1,1,408,341,12,3,180974,135672,312206,77303,1684560,159867,163236,1.021,,0,0,77.8,22.2,11.1,11.1,39.1,21.38,0.176,0.156,243.8,9700,6,2275787,200000,0,1,0
CL-08297,COW-04149,HERD-060,5,11,0,0,1,476,325,9,11,229142,314960,363000,195513,729167,234305,493256,2.105,314960,1,0,100,90.9,36.4,0,44.85,38.49,0.16,0.169,222.6,10364,4,96822,400000,0,0,1
CL-08298,COW-04149,HERD-018,4,9,0,0,1,432,307,6,9,139651,224378,282116,139651,541012,204702,337249,1.648,216601,1,0,100,66.7,22.2,0,33.37,31.52,0.137,0.16,176.4,12385,3,791391,400000,0,1,0
CL-08299,COW-04150,HERD-083,2,8,0,0,0,366,262,3,5,313380,195241,190576,103221,313380,224355,167132,0.745,198241,0,0,100,37.5,0,0,42.79,31.76,0.132,0.149,187.4,9469,18,79359,200000,0,0,1
CL-08300,COW-04150,HERD-047,3,10,0,0,0,445,298,11,2,22802,34065,34241,11734,67232,31572,34209,1.084,67232,0,90,0,0,0,0,40.68,28.97,0.188,0.192,300.5,6443,7,78565,200000,0,0,1
CL-08301,COW-04151,HERD-075,1,11,0,0,1,439,312,2,5,42481,80568,98761,26786,275083,37813,137211,3.629,275083,0,27.3,36.4,9.1,0,0,26.22,11.31,0.189,0.162,225.7,9937,7,32721,200000,0,0,1
CL-08302,COW-04151,HERD-068,2,7,0,0,1,348,324,12,2,428098,312749,314783,96655,467635,330796,348806,1.054,312749,1,0,85.7,71.4,42.9,0,33.66,10.79,0.211,0.193,140.3,10726,12,93062,200000,0,0,1
CL-08303,COW-04152,HERD-075,2,11,0,0,0,467,332,2,5,102935,102935,134751,30068,441001,73145,117823,1.611,54102,0,9.1,54.5,18.2,9.1,0,36.48,27.97,0.189,0.162,225.7,9937,15,56696,200000,0,0,1
CL-08304,COW-04152,HERD-063,3,8,0,0,0,410,313,5,7,43568,34756,35156,11675,75091,47009,27062,0.576,36478,0,87.5,0,0,0,0,45.93,37.95,0.151,0.169,148.6,10261,13,31047,200000,0,0,1
CL-08305,COW-04153,HERD-060,1,9,0,0,0,391,206,12,3,29720,75096,79164,23046,135882,41621,113111,2.718,75096,0,44.4,44.4,0,0,0,38.01,20.42,0.16,0.169,222.6,10364,4,134010,400000,0,0,1
CL-08306,COW-04153,HERD-081,3,11,0,0,0,471,339,2,5,26957,63187,62152,25610,103508,53682,64901,1.209,97003,0,27.3,9.1,0,0,0,39.65,21.59,0.176,0.17,194.7,9342,8,91087,200000,0,0,1
CL-08307,COW-04154,HERD-083,1,12,0,0,0,386,256,1,3,5188,16058,17018,5188,31486,14429,19774,1.37,14468,0,100,0,0,0,0,45.49,25.19,0.132,0.149,187.4,9469,17,104469,200000,0,0,1
CL-08308,COW-04154,HERD-067,3,12,0,0,0,413,334,4,6,43873,43787,40411,16312,87729,28959,36713,1.268,18070,0,75,0,0,0,0,31.04,30.42,0.142,0.139,204.7,5000,8,310585,200000,0,1,0
CL-08309,COW-04155,HERD-012,5,7,0,0,1,427,357,1,4,381404,381404,474547,94662,1219782,303250,397433,1.311,556135,1,0,85.7,85.7,42.9,14.3,53.13,40.53,0.094,0.11,270.3,6355,16,66222,200000,0,0,1
CL-08310,COW-04155,HERD-054,2,11,0,0,0,413,296,6,9,22770,21539,27787,18314,62409,21518,25591,1.189,18314,0,90.9,0,0,0,0,38.32,24.13,0.151,0.134,186.5,11230,14,31059,200000,0,0,1
CL-08311,COW-04156,HERD-016,4,9,0,0,0,437,262,9,11,131516,118514,153708,23225,352272,104010,164352,1.58,97499,0,11.1,66.7,33.3,0,0,49.69,36.46,0.143,0.131,200.6,9678,8,37585,200000,0,0,1
CL-08312,COW-04156,HERD-002,1,10,0,0,0,368,320,3,5,244752,218863,231092,29869,466894,222579,138740,0.623,29869,1,10,90,60,20,0,36.64,25.02,0.055,0.105,133.7,10327,17,51837,200000,0,0,1
CL-08313,COW-04157,HERD-070,4,8,0,0,0,500,329,12,2,52647,42333,45445,17625,79757,32260,56901,1.764,79757,0,50,0,0,0,0,42.92,29.1,0.175,0.193,194.9,10809,21,87104,200000,0,0,1
CL-08314,COW-04157,HERD-033,4,8,0,0,0,362,347,7,9,49693,36802,36130,18128,51797,37402,35636,0.953,33306,0,87.5,0,0,0,0,42.2,28.49,0.187,0.144,156.7,9366,11,108418,200000,0,0,1
CL-08315,COW-04158,HERD-080,2,8,0,0,0,376,276,5,8,302755,308156,465971,91512,1520123,429306,187460,0.437,91512,1,0,87.5,75,25,12.5,40.3,24.94,0.168,0.167,327.3,5493,25,71700,200000,0,0,1
CL-08316,COW-04158,HERD-060,2,8,0,0,0,392,351,10,12,93321,66100,72281,26215,131047,73755,88339,1.198,131047,0,12.5,12.5,0,0,0,35.47,21.34,0.16,0.169,222.6,10364,19,410496,200000,1,1,0
CL-08317,COW-04159,HERD-031,3,12,0,0,0,498,294,8,10,63806,69431,79460,21644,165012,107389,60566,0.564,31047,0,33.3,33.3,0,0,0,52.25,37.14,0.184,0.158,237.1,8010,13,155929,200000,0,0,1
CL-08318,COW-04159,HERD-073,1,10,0,0,0,378,300,3,5,82965,50795,64379,20694,134290,74893,71532,0.955,134290,0,50,20,0,0,0,40.56,26.52,0.194,0.198,230.7,12270,16,44666,200000,0,0,1
CL-08319,COW-04160,HERD-061,3,9,0,0,0,433,307,12,3,30623,92780,110775,30623,208822,54370,130670,2.403,97108,0,22.2,33.3,22.2,0,0,47.7,34.12,0.206,0.169,222,7228,18,63105,200000,0,0,1
CL-08320,COW-04160,HERD-022,1,7,0,0,1,396,308,1,4,223513,288866,532090,160236,1065774,433076,733468,1.694,845765,1,0,100,85.7,42.9,14.3,36.97,24.54,0.167,0.142,316.9,10302,9,481945,200000,0,1,0
CL-08321,COW-04161,HERD-041,2,10,0,0,0,382,361,7,10,45939,43805,48243,16715,146876,36608,71078,1.942,146876,0,80,10,0,0,0,38.64,20.95,0.136,0.153,205.7,12850,19,227015,200000,0,1,0
CL-08322,COW-04161,HERD-024,4,8,0,0,1,405,356,10,12,226919,217073,282561,155130,713313,233694,399326,1.709,713313,1,0,100,75,12.5,0,37.13,22.84,0.253,0.237,162.9,11120,17,259495,200000,0,1,0
CL-08323,COW-04162,HERD-083,1,7,0,0,0,415,252,10,1,34130,23029,24722,15288,34130,24517,28073,1.145,33335,0,100,0,0,0,0,36.97,25.47,0.132,0.149,187.4,9469,11,189041,200000,0,0,1
CL-08324,COW-04162,HERD-031,4,9,0,0,1,428,271,8,11,166945,243807,272836,166945,581094,176888,352009,1.99,581094,1,0,100,55.6,11.1,0,49.16,37.58,0.184,0.158,237.1,8010,14,565208,200000,0,1,0
CL-08325,COW-04163,HERD-061,4,8,0,0,0,443,341,6,9,22841,45664,47483,22841,78676,49276,35377,0.718,45016,0,62.5,0,0,0,0,38.75,30.46,0.206,0.169,222,7228,13,40745,200000,0,0,1
CL-08326,COW-04163,HERD-059,4,9,1,0,0,464,363,1,4,68863,73374,82697,36007,163478,92222,94407,1.024,,0,22.2,22.2,0,0,0,34.51,23.35,0.14,0.124,180.1,5461,20,585861,200000,0,1,0
CL-08327,COW-04164,HERD-035,1,10,0,0,0,339,339,11,2,57970,53699,65894,36208,119013,71835,64429,0.897,56545,0,40,20,0,0,0,28.95,23.78,0.074,0.07,164.6,9598,4,68939,400000,0,0,1
CL-08328,COW-04164,HERD-030,5,7,0,0,0,493,337,4,6,82574,72938,72180,22092,142594,73238,66460,0.907,22092,0,28.6,14.3,0,0,0,48.27,32.79,0.11,0.119,140.4,9911,17,24931,200000,0,0,1
CL-08329,COW-04165,HERD-062,4,12,0,0,1,398,261,4,6,314086,250384,302467,69997,594583,351563,324782,0.924,551778,1,0,91.7,75,25,0,40.1,23.79,0.221,0.198,312.5,12850,11,44985,200000,0,0,1
CL-08330,COW-04165,HERD-077,2,11,0,0,0,451,354,4,6,36273,59829,75178,31844,181513,46084,108208,2.348,74427,0,45.5,27.3,0,0,0,23.64,15.85,0.248,0.197,80,11285,23,179042,200000,0,0,1
CL-08331,COW-04166,HERD-039,1,9,0,0,1,375,294,1,3,116167,179842,176974,69368,265620,109156,253397,2.321,240313,1,0,77.8,44.4,0,0,29.37,15.89,0.178,0.194,310.9,10052,12,598359,200000,0,1,0
CL-08332,COW-04166,HERD-011,1,11,0,0,1,366,270,6,8,360054,433499,561760,99908,1876811,890121,630817,0.709,466756,1,0,90.9,90.9,54.5,18.2,37.55,22.92,0.115,0.111,273,9796,12,91422,200000,0,0,1
CL-08333,COW-04167,HERD-049,4,11,0,0,1,433,362,10,1,208147,208147,435869,84941,1866901,183078,241722,1.32,436680,1,0,90.9,72.7,27.3,9.1,48.54,35.19,0.153,0.163,155.7,11683,8,44804,200000,0,0,1
CL-08334,COW-04167,HERD-070,1,9,0,0,1,300,252,7,10,210439,141857,161309,35475,347640,151274,144500,0.955,347640,0,11.1,66.7,33.3,0,0,44.62,32.71,0.175,0.193,194.9,10809,9,45414,200000,0,0,1
CL-08335,COW-04168,HERD-017,1,11,0,0,1,342,287,2,5,103203,278083,240575,49178,690563,153916,265111,1.722,313709,0,9.1,72.7,54.5,9.1,0,32.67,14.75,0.199,0.198,189.9,10772,10,29839,200000,0,0,1
CL-08336,COW-04168,HERD-030,1,11,0,0,0,367,395,1,4,101606,198863,269888,84383,737121,201593,358746,1.78,84383,0,0,90.9,45.5,27.3,0,44.68,37.85,0.11,0.119,140.4,9911,17,29852,200000,0,0,1
CL-08337,COW-04169,HERD-079,3,8,0,0,0,368,248,8,11,41389,43843,62707,32796,135052,44317,94453,2.131,114586,0,62.5,25,0,0,0,39.35,29.46,0.139,0.152,236.2,11514,3,117411,400000,0,0,1
CL-08338,COW-04169,HERD-072,3,12,0,0,0,423,289,7,10,25122,68666,68305,25122,116460,64121,88926,1.387,71907,0,25,16.7,0,0,0,38.45,20.55,0.191,0.164,259,11562,24,172504,200000,0,0,1
CL-08339,COW-04170,HERD-082,3,9,0,0,0,406,330,3,5,143389,67204,77140,21591,143389,106056,62175,0.586,101070,0,22.2,44.4,0,0,0,47.08,38.97,0.127,0.128,254,7962,17,87450,200000,0,0,1
CL-08340,COW-04170,HERD-063,1,7,0,0,0,432,341,6,9,80883,132366,220475,80883,598641,270630,204051,0.754,97251,0,0,71.4,42.9,14.3,0,34.76,15.54,0.151,0.169,148.6,10261,3,86153,400000,0,0,1
CL-08341,COW-04171,HERD-073,1,11,0,0,0,457,318,11,1,26941,26229,36681,11563,106434,21578,32886,1.524,25739,0,72.7,9.1,0,0,0,32.05,16.76,0.194,0.198,230.7,12270,22,87155,200000,0,0,1
CL-08342,COW-04171,HERD-059,2,9,0,0,0,452,293,11,2,94354,58679,65435,24073,102357,65162,88159,1.353,61324,0,22.2,22.2,0,0,0,39.7,28.91,0.14,0.124,180.1,5461,21,39712,200000,0,0,1
CL-08343,COW-04172,HERD-014,5,7,0,0,0,454,352,9,11,29785,33051,46187,13691,99452,44138,52614,1.192,99452,0,71.4,0,0,0,0,40.74,28.37,0.104,0.109,287.2,12339,20,44838,200000,0,0,1
CL-08344,COW-04172,HERD-062,3,9,0,0,0,390,305,10,1,50572,50572,52289,27033,81644,44393,64731,1.458,68688,0,44.4,0,0,0,0,37.37,20.94,0.221,0.198,312.5,12850,20,37685,200000,0,0,1
CL-08345,COW-04173,HERD-054,1,10,0,0,0,360,267,12,3,23306,46074,50551,11793,101207,38338,28837,0.752,11793,0,50,10,0,0,0,40.2,29.31,0.151,0.134,186.5,11230,14,38193,200000,0,0,1
CL-08346,COW-04173,HERD-061,4,9,0,0,0,331,303,1,3,194680,84429,116904,52025,270224,134512,158826,1.181,121826,0,0,44.4,11.1,0,0,40.88,30.67,0.206,0.169,222,7228,15,39111,200000,0,0,1
CL-08347,COW-04174,HERD-023,4,10,0,0,1,407,333,5,8,548237,418660,480302,144823,909936,548148,632560,1.154,597646,1,0,100,90,50,0,48.55,39.18,0.171,0.161,238.4,8354,15,2242137,200000,0,1,0
CL-08348,COW-04174,HERD-050,3,9,0,0,1,453,319,1,3,377887,377887,485661,143737,1377693,826601,313714,0.38,513655,1,0,100,77.8,44.4,11.1,39.71,19.95,0.181,0.173,88.8,8329,9,254088,200000,0,1,0
CL-08349,COW-04175,HERD-051,2,9,0,0,1,414,298,2,4,132768,132768,142588,59679,318195,96089,220917,2.299,318195,0,0,55.6,11.1,0,0,52.54,38.22,0.112,0.117,238.8,6737,22,36052,200000,0,0,1
CL-08350,COW-04175,HERD-043,5,10,0,0,0,464,309,4,7,863667,258249,375124,95159,863667,375579,386926,1.03,185042,1,0,90,50,30,0,39.09,17.69,0.209,0.192,357,9647,7,166292,200000,0,0,1
CL-08351,COW-04176,HERD-057,2,9,0,0,1,345,290,1,4,188661,188661,202381,72016,392973,134633,307765,2.286,205713,1,0,88.9,33.3,0,0,44.93,40.77,0.123,0.158,320.7,10141,1,69034,400000,0,0,1
CL-08352,COW-04176,HERD-030,1,11,0,0,0,329,331,12,3,71384,64574,69888,43101,119306,59346,80089,1.35,59067,0,9.1,9.1,0,0,0,30.72,21.44,0.11,0.119,140.4,9911,20,159300,200000,0,0,1
CL-08353,COW-04177,HERD-004,2,12,0,0,0,322,260,9,11,233579,54805,65227,23231,233579,113276,39326,0.347,23231,0,33.3,8.3,8.3,0,0,41.26,27.17,0.144,0.13,327.3,9167,12,68196,200000,0,0,1
CL-08354,COW-04177,HERD-077,1,7,0,0,1,379,234,12,2,102153,357757,342834,102153,585798,248228,432466,1.742,585798,1,0,100,85.7,42.9,0,40.23,29.68,0.248,0.197,80,11285,11,1150062,200000,0,1,0
CL-08355,COW-04178,HERD-025,5,11,0,0,1,387,354,11,1,133696,296319,407102,97594,1219285,517828,270779,0.523,296319,1,0,90.9,72.7,18.2,18.2,42.52,24.12,0.055,0.077,231.2,10871,16,54416,200000,0,0,1
CL-08356,COW-04178,HERD-005,3,11,0,0,1,478,350,3,5,594693,594693,833810,269888,3685102,427662,612963,1.433,714163,1,0,100,100,72.7,9.1,52.07,42,0.147,0.138,189.6,11475,18,866242,200000,0,1,0
CL-08357,COW-04179,HERD-080,2,9,0,0,0,343,309,2,4,85605,63480,84719,46818,185816,101742,57440,0.565,58653,0,11.1,22.2,0,0,0,36.29,24.65,0.168,0.167,327.3,5493,15,67685,200000,0,0,1
CL-08358,COW-04179,HERD-071,1,12,0,0,0,343,322,6,9,141962,129404,136672,49863,227569,184394,124755,0.677,63932,0,8.3,75,16.7,0,0,38.96,25.63,0.23,0.221,174.4,10029,6,275133,200000,0,1,0
CL-08359,COW-04180,HERD-041,3,11,0,0,0,359,343,12,2,63773,62109,62672,22655,114709,61839,97688,1.58,64556,0,36.4,18.2,0,0,0,49.02,30.86,0.136,0.153,205.7,12850,8,94929,200000,0,0,1
CL-08360,COW-04180,HERD-006,3,9,0,0,1,490,318,8,10,899753,814508,777891,450423,1140613,831277,610650,0.735,567020,1,0,100,100,100,11.1,43.25,20.72,0.113,0.137,191.6,10021,8,2449201,200000,0,1,0
CL-08361,COW-04181,HERD-028,2,7,0,0,0,371,285,2,5,47011,35575,53870,30099,112282,37562,58372,1.554,112282,0,71.4,14.3,0,0,0,41.64,26.43,0.157,0.158,244.9,9576,4,243128,400000,0,0,1
CL-08362,COW-04181,HERD-008,2,10,0,0,0,417,258,9,11,116027,77956,80073,43421,124937,89991,74861,0.832,124937,0,10,20,0,0,0,39.49,24.63,0.089,0.115,86,12354,15,188668,200000,0,0,1
CL-08363,COW-04182,HERD-065,2,9,0,0,0,300,287,10,1,99525,45272,54366,25808,99525,56868,69303,1.219,36229,0,66.7,0,0,0,0,44.12,32.92,0.145,0.132,159.4,9309,17,137139,200000,0,0,1
CL-08364,COW-04182,HERD-038,3,7,0,0,0,402,269,8,11,94540,40123,48278,18645,94540,57733,42036,0.728,40123,0,71.4,0,0,0,0,44.76,30.16,0.182,0.143,293.6,11705,19,426637,200000,0,1,0
CL-08365,COW-04183,HERD-064,1,10,0,0,0,426,253,4,7,38021,37109,41292,17951,79174,35357,52591,1.487,35900,0,80,0,0,0,0,46.5,34.5,0.13,0.136,80,6610,6,51329,200000,0,0,1
CL-08366,COW-04183,HERD-071,2,9,0,0,0,410,201,7,10,60643,27106,28921,13348,60643,47410,13780,0.291,13780,0,88.9,0,0,0,0,45.4,35.52,0.23,0.221,174.4,10029,12,39001,200000,0,0,1
CL-08367,COW-04184,HERD-012,3,9,0,0,1,388,291,5,8,429024,655959,767966,316842,1210749,512519,809357,1.579,639835,1,0,100,100,88.9,33.3,45.15,28.6,0.094,0.11,270.3,6355,10,73315,200000,0,0,1
CL-08368,COW-04184,HERD-078,5,11,0,0,1,487,302,4,6,556611,556611,648382,328271,1404010,766039,444672,0.58,328271,1,0,100,100,72.7,18.2,46.71,31.17,0.158,0.178,209.2,10363,4,589780,400000,0,1,0
CL-08369,COW-04185,HERD-038,1,11,0,0,0,388,270,12,3,42482,45083,57975,27975,144099,38991,44077,1.13,55965,0,54.5,9.1,0,0,0,29.22,19.24,0.182,0.143,293.6,11705,15,111015,200000,0,0,1
CL-08370,COW-04185,HERD-041,1,9,0,0,0,409,315,8,10,16214,34857,38811,16214,65178,47391,30327,0.64,33255,0,77.8,0,0,0,0,41.76,20.2,0.136,0.153,205.7,12850,8,103946,200000,0,0,1
CL-08371,COW-04186,HERD-041,2,12,0,0,1,470,306,5,7,68058,175870,262326,68058,748811,255378,227754,0.892,263135,0,0,91.7,41.7,16.7,0,43.12,28.35,0.136,0.153,205.7,12850,6,82703,200000,0,0,1
CL-08372,COW-04186,HERD-055,4,14,0,0,1,404,355,6,9,199525,315924,335087,105886,842216,313653,318727,1.016,396345,0,0,100,64.3,28.6,0,43.74,29.19,0.108,0.093,168,11374,9,59316,200000,0,0,1
CL-08373,COW-04187,HERD-007,4,10,0,0,0,499,227,1,4,195202,199071,255451,110108,673220,169417,262651,1.55,129163,1,0,100,50,10,0,33.21,24.08,0.089,0.107,226.2,10392,19,81596,200000,0,0,1
CL-08374,COW-04187,HERD-078,5,8,0,0,0,416,342,3,6,98525,39826,70255,13951,223864,71734,101172,1.41,38246,0,62.5,12.5,12.5,0,0,39.97,26.56,0.158,0.178,209.2,10363,12,39278,200000,0,0,1
CL-08375,COW-04188,HERD-052,1,10,0,0,0,436,311,2,4,23832,30308,52956,17467,177552,24422,30624,1.254,40978,0,80,20,0,0,0,26.6,11.65,0.152,0.145,237.8,8897,14,59069,200000,0,0,1
CL-08376,COW-04188,HERD-048,1,7,0,0,0,340,367,8,10,63044,97208,118556,30390,212981,122118,144383,1.182,173783,0,28.6,42.9,28.6,0,0,45.63,35.26,0.128,0.134,168.3,9762,7,50371,200000,0,0,1
CL-08377,COW-04189,HERD-009,2,10,0,0,0,396,298,1,3,193515,168887,164950,69310,332798,164053,154077,0.939,194654,0,0,80,20,0,0,45.1,30.67,0.097,0.135,163.1,9631,8,60354,200000,0,0,1
CL-08378,COW-04189,HERD-058,1,9,0,0,1,451,312,10,1,92859,108941,188395,85470,473298,119216,286093,2.4,299512,0,0,77.8,33.3,11.1,0,37.02,16.03,0.082,0.107,186.9,8607,11,78545,200000,0,0,1
CL-08379,COW-04190,HERD-017,3,11,0,0,0,387,309,7,10,70064,157673,189121,50298,453797,101025,219173,2.169,189744,0,0,72.7,27.3,9.1,0,41.29,27.66,0.199,0.198,189.9,10772,8,93292,200000,0,0,1
CL-08380,COW-04190,HERD-084,1,11,0,0,1,429,262,10,12,113024,85557,104488,44794,284994,71643,173411,2.42,284994,0,18.2,36.4,9.1,0,0,38.08,19.98,0.091,0.099,272,9088,16,22046,200000,0,0,1
CL-08381,COW-04191,HERD-052,4,9,0,0,0,435,314,2,4,28789,29691,102509,12654,672311,26118,27522,1.054,54373,0,77.8,11.1,11.1,11.1,0,58.16,42,0.152,0.145,237.8,8897,7,56021,200000,0,0,1
CL-08382,COW-04191,HERD-019,1,7,0,0,1,395,309,1,4,252015,260671,280412,112313,568492,229220,235578,1.028,268193,0,0,100,71.4,14.3,0,43.87,32.56,0.125,0.128,141.7,11572,21,65056,200000,0,0,1
CL-08383,COW-04192,HERD-043,1,11,0,0,0,442,309,6,8,63381,107959,122860,53377,271521,69601,169102,2.43,152886,0,0,54.5,9.1,0,0,23.32,10.69,0.209,0.192,357,9647,9,95445,200000,1,1,0
